iter	Passed	Remaining
0	152	77797
1	284	72562
2	423	71918
3	560	71168
4	698	70799
5	839	70791
6	983	70937
7	1116	70327
8	1265	70744
9	1403	70472
10	1542	70268
11	1682	70112
12	1819	69854
13	1954	69537
14	2120	70275
15	2282	70747
16	2419	70440
17	2554	70101
18	2693	69887
19	2823	69453
20	2978	69639
21	3118	69462
22	3259	69302
23	3398	69106
24	3532	68821
25	3668	68579
26	3809	68426
27	3939	68103
28	4083	68016
29	4215	67729
30	4353	67553
31	4482	67235
32	4618	67042
33	4753	66825
34	4888	66621
35	5031	66527
36	5193	66677
37	5336	66567
38	5481	66478
39	5627	66402
40	5779	66388
41	5912	66162
42	6048	65972
43	6196	65904
44	6333	65726
45	6459	65439
46	6595	65251
47	6727	65028
48	6861	64830
49	6999	64674
50	7139	64536
51	7273	64341
52	7405	64130
53	7537	63930
54	7673	63755
55	7804	63554
56	7938	63372
57	8072	63185
58	8211	63050
59	8341	62839
60	8468	62612
61	8602	62434
62	8741	62304
63	8875	62130
64	9021	62038
65	9155	61871
66	9294	61730
67	9423	61530
68	9563	61401
69	9698	61238
70	9826	61033
71	9961	60874
72	10098	60730
73	10234	60580
74	10365	60398
75	10501	60245
76	10635	60081
77	10767	59912
78	10903	59759
79	11042	59631
80	11180	59491
81	11309	59304
82	11442	59142
83	11569	58949
84	11708	58818
85	11836	58632
86	11970	58478
87	12103	58315
88	12244	58196
89	12381	58054
90	12523	57939
91	12667	57828
92	12810	57714
93	12946	57570
94	13098	57495
95	13234	57348
96	13379	57243
97	13521	57120
98	13664	57006
99	13808	56889
100	13959	56807
101	14102	56686
102	14245	56568
103	14390	56453
104	14528	56314
105	14670	56189
106	14815	56075
107	14953	55938
108	15098	55821
109	15236	55682
110	15371	55532
111	15508	55386
112	15646	55248
113	15798	55155
114	15974	55147
115	16131	55069
116	16274	54943
117	16432	54866
118	16582	54765
119	16721	54622
120	16855	54466
121	16988	54307
122	17122	54151
123	17251	53979
124	17384	53822
125	17519	53669
126	17660	53536
127	17790	53372
128	17923	53213
129	18057	53061
130	18206	52951
131	18343	52807
132	18483	52669
133	18617	52517
134	18757	52382
135	18882	52203
136	19017	52056
137	19149	51898
138	19286	51754
139	19418	51596
140	19546	51430
141	19678	51275
142	19813	51125
143	19945	50970
144	20081	50826
145	20213	50671
146	20346	50520
147	20477	50362
148	20605	50200
149	20737	50045
150	20870	49894
151	21004	49747
152	21137	49596
153	21270	49446
154	21400	49289
155	21529	49132
156	21661	48980
157	21791	48823
158	21921	48667
159	22045	48499
160	22176	48347
161	22317	48216
162	22445	48057
163	22578	47911
164	22724	47789
165	22853	47634
166	22986	47487
167	23117	47336
168	23266	47221
169	23397	47069
170	23529	46921
171	23659	46768
172	23792	46622
173	23921	46467
174	24053	46319
175	24189	46180
176	24321	46031
177	24446	45871
178	24577	45722
179	24710	45576
180	24842	45430
181	24977	45289
182	25115	45152
183	25241	44995
184	25369	44842
185	25500	44694
186	25626	44537
187	25763	44401
188	25899	44261
189	26034	44122
190	26177	43994
191	26319	43865
192	26451	43720
193	26587	43580
194	26728	43451
195	26872	43325
196	27021	43207
197	27159	43071
198	27292	42927
199	27431	42793
200	27565	42651
201	27630	42403
202	27762	42258
203	27889	42107
204	28015	41954
205	28150	41816
206	28186	41531
207	28310	41376
208	28442	41234
209	28572	41089
210	28706	40951
211	28836	40806
212	28973	40671
213	29109	40535
214	29243	40396
215	29371	40250
216	29494	40096
217	29625	39952
218	29755	39809
219	29888	39669
220	30020	39528
221	30153	39389
222	30289	39254
223	30425	39118
224	30555	38975
225	30691	38839
226	30817	38691
227	30944	38544
228	31079	38408
229	31212	38269
230	31350	38135
231	31481	37995
232	31612	37853
233	31692	37651
234	31828	37517
235	31963	37381
236	32093	37239
237	32222	37096
238	32356	36959
239	32488	36820
240	32617	36677
241	32746	36534
242	32878	36396
243	33007	36254
244	33140	36116
245	33268	35973
246	33400	35834
247	33528	35691
248	33659	35551
249	33791	35413
250	33923	35275
251	34050	35131
252	34185	34996
253	34312	34852
254	34445	34715
255	34577	34577
256	34710	34440
257	34826	34286
258	34961	34151
259	35091	34011
260	35224	33874
261	35351	33732
262	35489	33600
263	35625	33466
264	35752	33323
265	35881	33184
266	36013	33046
267	36157	32919
268	36285	32778
269	36425	32648
270	36564	32517
271	36696	32379
272	36828	32241
273	36959	32103
274	37088	31963
275	37218	31824
276	37346	31684
277	37478	31546
278	37640	31434
279	37786	31308
280	37926	31178
281	38057	31040
282	38195	30907
283	38337	30777
284	38469	30640
285	38600	30502
286	38732	30365
287	38862	30226
288	38993	30088
289	39122	29948
290	39260	29816
291	39387	29675
292	39518	29537
293	39649	29399
294	39782	29263
295	39916	29128
296	40041	28986
297	40169	28846
298	40302	28710
299	40438	28576
300	40570	28440
301	40701	28302
302	40837	28168
303	40873	27966
304	41003	27828
305	41126	27686
306	41261	27552
307	41395	27417
308	41524	27279
309	41657	27144
310	41787	27007
311	41919	26871
312	42044	26730
313	42169	26590
314	42294	26451
315	42435	26320
316	42568	26185
317	42704	26052
318	42834	25915
319	42962	25777
320	43097	25643
321	43230	25508
322	43357	25370
323	43488	25234
324	43623	25100
325	43753	24963
326	43884	24827
327	44021	24695
328	44153	24559
329	44286	24424
330	44415	24287
331	44548	24152
332	44683	24019
333	44820	23886
334	44950	23749
335	45080	23613
336	45213	23478
337	45340	23341
338	45477	23208
339	45619	23078
340	45745	22939
341	45882	22806
342	46010	22669
343	46143	22535
344	46269	22397
345	46401	22262
346	46532	22126
347	46664	21991
348	46793	21854
349	46925	21719
350	47063	21587
351	47194	21452
352	47324	21316
353	47466	21185
354	47590	21047
355	47721	20911
356	47850	20775
357	47981	20640
358	48110	20503
359	48256	20374
360	48407	20247
361	48564	20123
362	48697	19988
363	48833	19855
364	48971	19722
365	49113	19591
366	49244	19456
367	49381	19323
368	49508	19186
369	49642	19051
370	49767	18914
371	49910	18783
372	50057	18654
373	50194	18520
374	50321	18384
375	50457	18250
376	50593	18116
377	50721	17980
378	50850	17844
379	50986	17711
380	51119	17576
381	51251	17441
382	51379	17305
383	51521	17173
384	51649	17037
385	51787	16904
386	51923	16771
387	52054	16635
388	52186	16501
389	52316	16365
390	52445	16229
391	52573	16093
392	52708	15960
393	52839	15824
394	52970	15689
395	53102	15555
396	53242	15422
397	53369	15286
398	53500	15151
399	53631	15016
400	53761	14881
401	53891	14746
402	54019	14610
403	54148	14475
404	54294	14344
405	54428	14210
406	54559	14075
407	54697	13942
408	54827	13807
409	54952	13671
410	55081	13535
411	55211	13400
412	55341	13265
413	55482	13133
414	55607	12997
415	55745	12864
416	55873	12729
417	56004	12594
418	56131	12458
419	56283	12328
420	56416	12194
421	56546	12059
422	56673	11924
423	56807	11790
424	56941	11656
425	57072	11521
426	57205	11387
427	57339	11253
428	57469	11118
429	57598	10983
430	57727	10849
431	57861	10715
432	57987	10579
433	58119	10445
434	58252	10311
435	58381	10176
436	58517	10043
437	58635	9906
438	58768	9772
439	58906	9639
440	59039	9505
441	59183	9372
442	59333	9241
443	59472	9108
444	59607	8974
445	59743	8840
446	59878	8707
447	60013	8573
448	60147	8439
449	60279	8305
450	60418	8171
451	60550	8037
452	60680	7903
453	60819	7769
454	60945	7634
455	61076	7500
456	61205	7366
457	61341	7232
458	61473	7098
459	61609	6964
460	61740	6830
461	61869	6695
462	61998	6561
463	62131	6427
464	62262	6293
465	62395	6159
466	62522	6024
467	62656	5890
468	62792	5757
469	62923	5622
470	63056	5489
471	63189	5355
472	63317	5220
473	63450	5086
474	63580	4952
475	63713	4818
476	63842	4684
477	63986	4551
478	64113	4417
479	64246	4283
480	64379	4149
481	64524	4016
482	64655	3882
483	64790	3748
484	64921	3614
485	65051	3480
486	65182	3346
487	65315	3212
488	65446	3078
489	65582	2944
490	65717	2810
491	65850	2676
492	65981	2542
493	66115	2409
494	66245	2275
495	66379	2141
496	66512	2007
497	66641	1873
498	66774	1739
499	66909	1605
500	67043	1472
501	67175	1338
502	67307	1204
503	67438	1070
504	67567	936
505	67715	802
506	67846	669
507	67984	535
508	68117	401
509	68258	267
510	68403	133
511	68536	0
